노선,기종점,월,정류장순번,정류장,이용자유형,합계,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,00,04,01,02,03
111-2,동춘동차고지 - 동춘동차고지,202301.0,46.0,부원중학교,경로,27,26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,
111-2,동춘동차고지 - 동춘동차고지,202302.0,46.0,부원중학교,경로,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
111-2,동춘동차고지 - 동춘동차고지,202303.0,46.0,부원중학교,경로,31,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,
111-2,동춘동차고지 - 동춘동차고지,202304.0,46.0,부원중학교,경로,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
111-2,동춘동차고지 - 동춘동차고지,202305.0,46.0,부원중학교,경로,33,28,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,,,,,
111-2,동춘동차고지 - 동춘동차고지,202306.0,66.0,부평역,경로,73,42,5,0,0,1,2,3,4,3,2,3,5,0,0,3,0,0,0,0,0.0,,,,
111-2,동춘동차고지 - 동춘동차고지,202307.0,46.0,부원중학교,경로,34,32,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,,,,
111-2,동춘동차고지 - 동춘동차고지,202308.0,46.0,부원중학교,경로,31,28,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0,,,,
111-2,동춘동차고지 - 동춘동차고지,202309.0,46.0,부원중학교,경로,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
111-2,동춘동차고지 - 동춘동차고지,202310.0,121.0,올리브백화점,경로,118,15,1,0,0,2,8,11,22,16,18,5,4,4,9,3,0,0,0,0,,,,,
111-2,동춘동차고지 - 동춘동차고지,202311.0,47.0,부원중학교,경로,27,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
111-2,동춘동차고지 - 동춘동차고지,202312.0,47.0,부원중학교,경로,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
111-2,동춘동차고지 - 동춘동차고지,202301.0,18.0,인하대역(7번출구),국가유공자,34,3,9,1,1,0,1,1,4,4,2,1,4,0,2,0,0,1,0,0,,,,,
111-2,동춘동차고지 - 동춘동차고지,202302.0,18.0,인하대역(7번출구),국가유공자,31,2,14,0,0,0,1,1,2,2,0,0,3,0,0,1,4,1,0,0,,,,,
111-2,동춘동차고지 - 동춘동차고지,202303.0,18.0,인하대역(7번출구),국가유공자,28,2,6,0,2,2,2,5,2,0,0,1,3,2,0,0,1,0,0,0,,,,,
111-2,동춘동차고지 - 동춘동차고지,202304.0,18.0,인하대역(7번출구),국가유공자,16,1,0,3,0,0,1,0,2,1,1,2,2,2,0,0,1,0,0,0,,,,,
111-2,동춘동차고지 - 동춘동차고지,202305.0,18.0,인하대역(7번출구),국가유공자,7,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,,,,,
