노선,정류장,count
111-2,롯데백화점(인천터미널),336
111-2,현대3차아파트,141
111-2,인하대역(7번출구),120
111-2,인하대역(1번출구),101
111-2,원흥아파트,97
111-2,문학초등학교,62
111-2,백운역,49
111-2,인명여자고등학교,49
111-2,길병원,48
111-2,법원.검찰청,39
13,호반써밋송도,151
13,주안역,149
13,주안7동행정복지센터,112
13,미송초등학교,62
13,용현3동행정복지센터.보훈병원,50
13,도화오거리,49
13,숭의로터리,45
13,인하대병원,42
13,용현시장,34
13,인천소방본부,33
1601,홍대입구역,233
1601,인하대후문,115
1601,계룡리슈빌,111
1601,부천시청역3번출구.경기예고.현대백화점,107
1601,인천미래생활고등학교,83
1601,신중동역6번출구.중흥중학교,71
1601,태화두진아파트,61
1601,합정역,59
1601,약대사거리,56
1601,서울역,42
27,롯데백화점(인천터미널),258
27,정석항공과학고,149
27,인하대역(7번출구),136
27,인하대역(1번출구),116
27,청능로사거리,97
27,도림주공1단지,65
27,주안7동행정복지센터,56
27,남동구청,53
27,남동초등학교,34
27,삼익.광명아파트,29
46,롯데백화점(인천터미널),255
46,인하대역(7번출구),141
46,벽산이삭아파트,128
46,풍림아이원아파트,103
46,부평역,67
46,대동아파트,60
46,인하대역(1번출구),57
46,인명여자고등학교,36
46,중구문화회관,36
46,인수초등학교,33
5,롯데백화점(인천터미널),490
5,인명여자고등학교,86
5,인하대역(1번출구),77
5,인하대역(7번출구),70
5,풍림아이원아파트,61
5,서창센트럴푸르지오,53
5,서창퍼스트뷰후문,40
5,문학경로당,37
5,인천향교유림회관,36
5,삼미시장,29
5-1,주안역환승정류장,750
5-1,인하대역(1번출구),126
5-1,풍림아이원아파트,83
5-1,동아풍림아파트,70
5-1,주안7동행정복지센터,57
5-1,용현초등학교입구,40
5-1,대림아파트,36
5-1,주안3동행정복지센터,30
5-1,인하대역(7번출구),29
5-1,주안파크자이더플래티넘아파트,28
511,주안역환승정류장,1157
511,인천기계공고,60
511,용일사거리,56
511,인하대후문,52
511,학산소극장,26
511,SK스카이뷰104동,22
511,도화IC,16
511,독배로317번길(삼거리),11
511,인천용학초등학교,11
511,용남파출소,8
512,남중학교,596
512,용현시장,222
512,수봉마을쉼터,208
512,제물포역,95
512,용현고개,64
512,용정초등학교,56
512,인하대후문,44
512,용현고가교,37
512,수봉공원,34
512,미추홀구청,18
515,주안역,451
515,신기.남부종합시장(진흥사거리),237
515,문학초등학교,213
515,(구)시민회관사거리,85
515,신비마을아파트,80
515,관교여자중학교,52
515,관교중학교(약수터),45
515,삼영아파트,36
515,학익시장앞,35
515,학익사거리(동아풍림아파트),32
516,주안역환승정류장,545
516,인하대역(7번출구),187
516,풍림아이원아파트,102
516,신기.남부종합시장(진흥사거리),90
516,연학초등학교,87
516,신동아아파트,70
516,(구)시민회관사거리,47
516,두산위브아파트,36
516,인하대역(1번출구),29
516,현광아파트후문,26
517,동인천,303
517,동인천역,244
517,토지금고시장,240
517,제물포역,81
517,신포시장,55
517,용현시장,53
517,기점(미정차),48
517,남중학교,39
517,한양아파트,37
517,인하대역4번출구,36
518,(구)시민회관사거리,286
518,신기.남부종합시장(진흥사거리),254
518,인하대역(7번출구),159
518,신동아아파트3차,149
518,인천향교유림회관,105
518,주안역,78
518,신동아아파트,54
518,대동아파트,47
518,학산사거리,46
518,학익고등학교,33
519,동인천,313
519,동인천역,256
519,토지금고시장,160
519,제물포역,114
519,신포시장,67
519,용현시장,61
519,인하대역4번출구,58
519,기점(미정차),53
519,남중학교,36
519,대림아파트,35
8,송내역남부,506
8,동막역(1번출구),121
8,인천대입구역,112
8,나사렛국제병원앞,109
8,아주아파트.미추홀학교,55
8,인하대역(7번출구),46
8,현대3차아파트,27
8,원흥아파트,26
8,송도풍림아이원2단지,25
8,장미아파트,25
9200,강남역서초현대타워앞,311
9200,인하대역(7번출구),294
9200,원흥아파트,205
9200,송도유원지(도로교통공단),155
9200,송도파크레인동일하이빌,80
9200,교대역,45
9200,시민의숲.양재꽃시장,43
9200,장미아파트,40
9200,학익시장(법원검찰청),33
9200,선바위역,32
