정류장,count
주안역환승정류장,127
신기.남부종합시장(진흥사거리),73
인하대역(7번출구),58
롯데백화점(인천터미널),52
토지금고시장,43
남중학교,39
대동아파트,28
송내역남부,26
용현시장,25
동인천역,23
인하대역(1번출구),22
원흥아파트,20
인천향교유림회관,19
송도유원지(도로교통공단),19
호반써밋송도,18
계룡리슈빌,18
동아풍림아파트,15
인천대입구역,15
연학초등학교,14
주안역,13
신포시장,13
신동아아파트,13
문학초등학교,12
미송초등학교,12
인명여자고등학교,12
현대3차아파트,12
풍림아이원아파트,11
선유고등학교,11
장미아파트,10
수봉마을쉼터,9
복지회관,9
백운역,9
정석항공과학고,9
주안7동행정복지센터,9
CJ인천2공장,8
남광로얄아파트,7
(구)시민회관사거리,7
제물포역,7
인하대후문,6
금호2차아파트,6
부천시청역3번출구.경기예고.현대백화점,6
나사렛국제병원앞,6
동인천,6
신중동역6번출구.중흥중학교,6
미추홀구청입구,5
신동아3차아파트,5
인천향교.인천도호부청사,5
벽산이삭아파트,5
숭의교회,5
은봉초등학교,5
약대사거리,5
숭의초등학교,4
유원아파트,4
신비마을아파트(112동),4
용현고개,4
동막역(1번출구),4
인수초등학교,4
신비마을아파트,4
학익고등학교,4
학산소극장,4
학익사거리(동아풍림아파트),4
하늘휴게소,4
인하대병원,4
삼익.광명아파트,3
주안파크자이더플래티넘아파트,3
대림아파트,3
석바위,3
신흥시장,3
문학정보고입구,3
현대시장,3
용일사거리,3
신선초등학교앞,3
숭의로터리,3
남동초등학교,3
현대아파트,3
남동구청,3
옹진군청,3
법원.검찰청,2
관교여자중학교,2
인하대정문,2
금호타운,2
학익사거리,2
서초역,2
송도파크자이,2
서울역,2
구월2동행정복지센터,2
루원이편한세상하늘채(112동),2
관교중학교(약수터),2
인천가정법원.인천지방법원등기국,2
송림4동행정복지센터,2
길병원,2
e편한세상정문,2
인천재능대학교서문,2
월드메르디앙아파트,2
남인천농협백운지점,2
학익시장(법원검찰청),2
신동아아파트3차,2
송도파크레인동일하이빌,2
중구노인복지회관,2
송도재래시장,2
토지금고시장앞,2
신천동,2
서창119안전센터,2
인천논현중학교,2
힘찬병원,2
남동세무서,2
남동구청후문(남동등기소),2
인천미래생활고등학교,2
논현사거리,2
구월아시아드6단지,2
센타빌딩,2
문학경로당,2
풍림아파트,2
모래내시장역(3번출구),2
신성성결교회(올림피아병원),2
상동역1번출구.부천터미널소풍.홈플러스,1
인천정보과학고등학교,1
숭의역(2번출구),1
만수4동주민센터,1
신창아파트,1
숭의2동행정복지센터,1
인하대역4번출구,1
인천대공원,1
학익2동행정복지센터,1
주안현대아파트,1
윤성아파트(인항고교),1
장미아파트(19동)앞,1
미추홀공원,1
마린월드,1
선바위역,1
도림주공1단지,1
시민의숲.양재꽃시장,1
서초아트자이아파트,1
래미안아파트파이낸셜뉴스,1
양재역,1
교대역,1
인천대학교자연과학대학,1
모래내시장역(4번출구),1
송도풍림아이원2단지,1
송도컨벤시아,1
도림주공2단지,1
금호아파트,1
신선초등학교,1
간석사거리,1
청운대삼거리(하늘꿈교회),1
용현중학교,1
인천시청후문,1
용정초등학교,1
신촌오거리.현대백화점,1
신천역.문화의거리,1
신일교회,1
문학경기장(야구장),1
도화IC,1
주안3동행정복지센터,1
영남아파트,1
용현초등학교입구,1
운연역,1
시민공원,1
구월아시아드8단지,1
합정역,1
하나아파트,1
동교동삼거리,1
청능로사거리,1
인화여고,1
로얄아파트,1
루원이편한세상하늘채(125동),1
이대역,1
한국아파트,1
부천시청역1번출구,1
벽산.이삭아파트,1
용현3동행정복지센터.보훈병원,1
심곡극동아파트,1
주안사거리,1
검바위역,1
정광아파트(병무청),1
두산위브아파트,1
우진아파트,1
아현역,1
롯데슈퍼,1
태평아파트.주안한신휴플러스아파트,1
미추홀구청,1
