정류장,count
주안역환승정류장,2452
롯데백화점(인천터미널),1339
인하대역(7번출구),1182
주안역,695
남중학교,671
동인천,616
신기.남부종합시장(진흥사거리),581
인하대역(1번출구),548
송내역남부,506
동인천역,500
(구)시민회관사거리,491
토지금고시장,401
용현시장,370
풍림아이원아파트,362
원흥아파트,328
제물포역,318
강남역서초현대타워앞,311
문학초등학교,290
인하대후문,235
홍대입구역,233
주안7동행정복지센터,225
수봉마을쉼터,208
송도유원지(도로교통공단),184
정석항공과학고,183
인천향교유림회관,174
인명여자고등학교,171
현대3차아파트,168
호반써밋송도,151
신동아아파트3차,149
동아풍림아파트,145
장미아파트,139
신동아아파트,134
대동아파트,133
벽산이삭아파트,128
나사렛국제병원앞,123
용일사거리,123
신포시장,122
동막역(1번출구),121
인천대입구역,112
계룡리슈빌,111
부천시청역3번출구.경기예고.현대백화점,107
기점(미정차),101
청능로사거리,97
인하대역4번출구,94
연학초등학교,87
두산위브아파트,83
인천미래생활고등학교,83
대림아파트,82
용현고개,81
신비마을아파트,80
송도파크레인동일하이빌,80
금호2차아파트,79
학익고등학교,77
석바위,76
인하대병원,76
용현초등학교입구,74
신중동역6번출구.중흥중학교,71
학익사거리(동아풍림아파트),69
부평역,68
태화두진아파트,65
도림주공1단지,65
미송초등학교,62
인천기계공고,60
합정역,59
금호타운,57
용정초등학교,56
약대사거리,56
쌍용아파트,55
학산소극장,55
아주아파트.미추홀학교,55
주안3동행정복지센터,54
남동구청,53
인천향교.인천도호부청사,53
서창센트럴푸르지오,53
신동아아파트5차,53
관교여자중학교,52
학산사거리,52
인천소방본부,52
주안파크자이더플래티넘아파트,52
용현3동행정복지센터.보훈병원,50
도화오거리,49
신창아파트,49
백운역,49
중구문화회관,49
길병원,48
복지회관,47
법원.검찰청,47
삼영아파트,46
숭의초등학교,45
신동아3차아파트,45
관교중학교(약수터),45
구월아시아드6단지,45
숭의로터리,45
교대역,45
유원아파트,44
백산아파트,43
시민의숲.양재꽃시장,43
남동구청후문(남동등기소),42
서울역,42
신동아아파트(B),41
CJ인천2공장,41
남광로얄아파트,41
서창퍼스트뷰후문,40
주안사거리,40
학익시장(법원검찰청),40
로얄아파트,40
용현고가교,39
구월2동행정복지센터,38
학익시장앞,38
금호아파트,37
문학경로당,37
한양아파트,37
인하대정문,36
미추홀구청입구,35
석암초등학교앞,35
벽산아파트(미추홀도서관),35
숭의2동행정복지센터,34
남동초등학교,34
수봉공원,34
한국아파트,34
신성성결교회(올림피아병원),33
인수초등학교,33
검암역(시내방면),32
선바위역,32
월드메르디앙아파트,32
서초역,31
윤성아파트(인항고교),30
상동역1번출구.부천터미널소풍.홈플러스,30
토지금고시장앞,29
배다리,29
삼미시장,29
삼익.광명아파트,29
양재역,29
학익2동행정복지센터,29
정병원,29
인천시청후문,29
진흥아파트,28
옹진군청,28
무지개아파트(동남아파트),27
라이프아파트,27
문학경기장(야구장),27
신동아아파트8차,27
힘찬병원,26
풍림1차아파트,26
현광아파트후문,26
송도풍림아이원2단지,25
루원이편한세상하늘채(125동),25
송도파크자이,25
정광아파트(병무청),25
백운프라자,25
부천시청역1번출구,25
e편한세상정문,24
풍림아파트,24
인천논현중학교,23
신선초등학교앞,23
신촌오거리.현대백화점,23
동막역(3번출구),23
독정이고개,23
굴다리오거리,22
길병원사거리,22
대인고등학교,22
SK스카이뷰104동,22
교보생명,21
남동세무서,21
남동경찰서.남촌농산물도매시장,21
인천의료원,21
용현중학교,21
문학정보고입구,21
인천교통공사,20
하늘휴게소,20
문학우체국,20
남인천여자중학교,20
효성상아아파트,20
항운아파트,19
힐스테이트푸르지오주안,19
신천동,19
은봉초등학교,18
미추홀구청,18
송도재래시장,18
송도중학교,18
학익시장,18
인천예림학교(인천성모병원),17
인천뷰티예술고등학교,17
현대시장,17
만수주공4단지,17
서교동,17
영남아파트,17
현광아파트,17
용남파출소,16
숭의교회,16
서초아트자이아파트,16
구월아시아드은빛호수공원,16
운연역,16
선유고등학교,16
신명아파트.대우3차아파트,16
도화IC,16
하나아파트,15
루원이편한세상하늘채(112동),15
올리브백화점,15
도림아이파크아파트,15
인천대학교공과대학,15
부평구청,15
서화초등학교(도화e편한세상),15
상동역8번출구세이브존,15
태화.두진아파트,15
부원중학교,15
학익동성당앞,14
인천가정법원.인천지방법원등기국,14
신선초등학교,14
검바위역,14
신동아1.2차아파트,14
굴다리입구,14
숭의역(2번출구),14
극동.금호아파트,14
충정로역2호선,14
현대아파트,14
인천정보과학고등학교,14
간석오거리(인천웨딩홀),14
벽산.이삭아파트,13
장미아파트(19동)앞,13
힐캐슬프라자,13
성문아파트(문화연립),12
모래내시장역(3번출구),12
대우푸르지오복합상가,12
장천사거리,12
삼환아파트,12
주안현대아파트,12
구월아시아드8단지,11
재흥시장,11
하나로쇼핑,11
SK주유소앞,11
인천용학초등학교,11
송림오거리,11
작은구월사거리,11
제물포시장,11
숭의역(1번출구),11
독배로317번길(삼거리),11
서창119안전센터,11
동춘동종점,11
가좌농협,11
송림4동행정복지센터,11
학익사거리,11
문학고개,10
아시아드경기장(공촌사거리)역,10
토지금고,10
현대4차아파트,10
신비마을아파트(112동),10
남동중학교,10
가정(루원시티)역,10
시민공원,10
신일교회,10
신동아아파트4차,9
논현14단지등대마을,9
제운사거리(청년창업특화거리),9
남촌풍림2차아파트,9
석락아파트,9
동춘2동행정복지센터,9
