노선,정류장,count
111-2,롯데백화점(인천터미널),336
111-2,현대3차아파트,141
111-2,인하대역(7번출구),120
111-2,인하대역(1번출구),101
111-2,원흥아파트,97
111-2,문학초등학교,62
111-2,백운역,49
111-2,인명여자고등학교,49
111-2,길병원,48
111-2,법원.검찰청,39
111-2,백산아파트,28
111-2,무지개아파트(동남아파트),27
111-2,복지회관,25
111-2,길병원사거리,22
111-2,송도유원지(도로교통공단),22
111-2,인천교통공사,20
111-2,장미아파트,18
111-2,부원중학교,15
111-2,올리브백화점,15
111-2,학익사거리(동아풍림아파트),15
111-2,간석오거리(인천웨딩홀),14
111-2,나사렛국제병원앞,14
111-2,현대아파트,14
111-2,부평구청,13
111-2,금호아파트,11
111-2,동춘동종점,11
111-2,동춘2동행정복지센터,9
111-2,풍림아파트,8
111-2,남구평생학습센터,7
111-2,인천향교.인천도호부청사,7
111-2,법원검찰청입구,6
111-2,신동아1.2차아파트,6
111-2,신동아아파트,6
111-2,신동아3차아파트,5
111-2,인천교회,5
111-2,인하대정문,5
111-2,구월중학교,4
111-2,부평구청·부평세무서,4
111-2,십정2동행정복지센터,4
111-2,2001아울렛,3
111-2,동양화학,3
111-2,송도라마다호텔앞,3
111-2,옥골사거리,3
111-2,학익시장(법원검찰청),3
111-2,학익시장앞,3
111-2,간석오거리,2
111-2,굴포천역(부평농협),2
111-2,문학경기장(야구장),2
111-2,부평역(북인천우체국),2
111-2,한국아파트,2
111-2,동춘동차고지,1
111-2,동춘마을아파트,1
111-2,두산아파트,1
111-2,문학경기장(월드컵경기장),1
111-2,백마장입구,1
111-2,보훈회관,1
111-2,부평구청역,1
111-2,부평역,1
111-2,삼영아파트,1
111-2,성리초등학교,1
13,호반써밋송도,151
13,주안역,149
13,주안7동행정복지센터,112
13,미송초등학교,62
13,용현3동행정복지센터.보훈병원,50
13,도화오거리,49
13,숭의로터리,45
13,인하대병원,42
13,용현시장,34
13,인천소방본부,33
13,검암역(시내방면),32
13,월드메르디앙아파트,32
13,(구)시민회관사거리,30
13,제물포역,28
13,풍림1차아파트,26
13,루원이편한세상하늘채(125동),25
13,e편한세상정문,24
13,대인고등학교,22
13,독정이고개,21
13,인천의료원,21
13,로얄아파트,19
13,CJ인천2공장,18
13,인하대후문,18
13,주안3동행정복지센터,18
13,현대시장,17
13,숭의교회,16
13,교보생명,15
13,루원이편한세상하늘채(112동),15
13,서화초등학교(도화e편한세상),15
13,검바위역,14
13,용일사거리,13
13,중구문화회관,13
13,주안파크자이더플래티넘아파트,12
13,SK주유소앞,11
13,가좌농협,11
13,송림4동행정복지센터,11
13,송림오거리,11
13,가정(루원시티)역,10
13,아시아드경기장(공촌사거리)역,10
13,동산고,9
13,항운아파트,9
13,숭의역(2번출구),8
13,인천항신국제여객터미널,8
13,검암사거리,7
13,석남신사거리,7
13,은지초등학교사거리,7
13,풍림3차아파트,7
13,한국국토정보공사인천북부지사,7
13,금호어울림아파트,6
13,롯데슈퍼,6
