월,정류장,count
202301.0,주안역환승정류장,194
202301.0,롯데백화점(인천터미널),147
202301.0,인하대역(7번출구),99
202301.0,신기.남부종합시장(진흥사거리),57
202301.0,주안역,52
202301.0,송내역남부,47
202301.0,인하대역(1번출구),47
202301.0,남중학교,45
202301.0,토지금고시장,44
202301.0,(구)시민회관사거리,42
202301.0,동인천,39
202301.0,동인천역,39
202301.0,용현시장,37
202301.0,제물포역,35
202301.0,강남역서초현대타워앞,32
202301.0,원흥아파트,31
202301.0,수봉마을쉼터,28
202301.0,풍림아이원아파트,23
202301.0,신동아아파트3차,21
202301.0,홍대입구역,21
202301.0,문학초등학교,20
202301.0,용일사거리,15
202301.0,주안7동행정복지센터,14
202301.0,계룡리슈빌,13
202301.0,대림아파트,12
202301.0,용현고개,12
202301.0,인명여자고등학교,12
202301.0,인하대후문,12
202301.0,현대3차아파트,12
202301.0,나사렛국제병원앞,11
202301.0,대동아파트,11
202301.0,동아풍림아파트,11
202301.0,벽산이삭아파트,11
202301.0,동막역(1번출구),10
202301.0,송도유원지(도로교통공단),10
202301.0,신포시장,10
202301.0,인천향교유림회관,10
202301.0,중구문화회관,10
202301.0,학산소극장,10
202301.0,두산위브아파트,9
202301.0,부평역,9
202301.0,기점(미정차),8
202301.0,도림주공1단지,8
202301.0,용현초등학교입구,8
202301.0,인하대병원,8
202301.0,주안사거리,8
202301.0,청능로사거리,8
202301.0,학산사거리,8
202301.0,신동아아파트,7
202301.0,신동아아파트5차,7
202301.0,연학초등학교,7
202301.0,용현3동행정복지센터.보훈병원,7
202301.0,인천미래생활고등학교,7
202301.0,한양아파트,7
202301.0,검암역(시내방면),6
202301.0,로얄아파트,6
202301.0,미송초등학교,6
202301.0,삼영아파트,6
202301.0,숭의로터리,6
202301.0,양재역,6
202301.0,옹진군청,6
202301.0,인천기계공고,6
202301.0,주안3동행정복지센터,6
202301.0,학익시장앞,6
202301.0,현광아파트,6
202301.0,호반써밋송도,6
202301.0,금호2차아파트,5
202301.0,남동구청,5
202301.0,남동초등학교,5
202301.0,백산아파트,5
202301.0,서초역,5
202301.0,석바위,5
202301.0,숭의2동행정복지센터,5
202301.0,숭의교회,5
202301.0,시민의숲.양재꽃시장,5
202301.0,신동아3차아파트,5
202301.0,신비마을아파트,5
202301.0,약대사거리,5
202301.0,태화두진아파트,5
202301.0,학익고등학교,5
202301.0,합정역,5
202301.0,SK스카이뷰104동,4
202301.0,교대역,4
202301.0,구월아시아드6단지,4
202301.0,라이프아파트,4
202301.0,만수주공4단지,4
202301.0,문학경로당,4
202301.0,서창센트럴푸르지오,4
202301.0,송도풍림아이원2단지,4
202301.0,숭의초등학교,4
202301.0,신동아아파트(B),4
202301.0,올리브백화점,4
202301.0,용정초등학교,4
202301.0,인수초등학교,4
202301.0,장미아파트,4
202301.0,재흥시장,4
202301.0,학익사거리(동아풍림아파트),4
202301.0,한국국토정보공사인천북부지사,4
202301.0,CJ인천2공장,3
202301.0,SK주유소앞,3
202301.0,e편한세상정문,3
202301.0,간석오거리(인천웨딩홀),3
202301.0,관교여자중학교,3
202301.0,금호아파트,3
202301.0,길병원사거리,3
202301.0,남광로얄아파트,3
202301.0,남동구청후문(남동등기소),3
202301.0,남동세무서,3
202301.0,남동중학교,3
202301.0,도화오거리,3
202301.0,무지개아파트(동남아파트),3
202301.0,문학고개,3
202301.0,미추홀구청입구,3
202301.0,배다리,3
202301.0,백운역,3
202301.0,법원.검찰청,3
202301.0,부천시청역3번출구.경기예고.현대백화점,3
202301.0,서교동,3
202301.0,석암초등학교앞,3
202301.0,선바위역,3
202301.0,신동아1.2차아파트,3
202301.0,신성성결교회(올림피아병원),3
202301.0,유원아파트,3
202301.0,인천향교.인천도호부청사,3
202301.0,인하대역4번출구,3
202301.0,토지금고시장앞,3
202301.0,하나아파트,3
202301.0,학익시장,3
202301.0,한국아파트,3
202301.0,힘찬병원,3
202301.0,검바위역,2
202301.0,구월아시아드은빛호수공원,2
202301.0,길병원,2
202301.0,도림아이파크아파트,2
202301.0,독배로317번길(삼거리),2
