이용자유형,정류장,count
경로,주안역환승정류장,597
경로,동인천,202
경로,신기.남부종합시장(진흥사거리),194
경로,인하대역(7번출구),194
경로,송내역남부,173
경로,롯데백화점(인천터미널),161
경로,토지금고시장,133
경로,주안역,114
경로,인하대역(1번출구),107
경로,(구)시민회관사거리,105
경로,남중학교,105
경로,주안7동행정복지센터,91
경로,송도유원지(도로교통공단),86
경로,용현시장,83
경로,대동아파트,76
경로,원흥아파트,65
경로,수봉마을쉼터,54
경로,강남역서초현대타워앞,50
경로,용일사거리,37
경로,문학초등학교,35
경로,신포시장,33
경로,동인천역,31
경로,인천기계공고,30
경로,제물포역,27
경로,남동구청,20
경로,인하대후문,20
경로,미송초등학교,19
경로,학산소극장,18
경로,삼미시장,17
경로,용현초등학교입구,17
경로,인하대병원,17
경로,계룡리슈빌,16
경로,길병원,16
경로,부천시청역3번출구.경기예고.현대백화점,16
경로,아주아파트.미추홀학교,15
경로,유원아파트,15
경로,로얄아파트,14
경로,신촌오거리.현대백화점,14
경로,진흥아파트,14
경로,학익사거리(동아풍림아파트),14
경로,현대시장,14
경로,홍대입구역,14
경로,석바위,13
경로,선유고등학교,13
경로,신동아아파트(B),13
경로,약대사거리,13
경로,인명여자고등학교,13
경로,백산아파트,12
경로,부원중학교,12
경로,신천동,12
경로,합정역,12
경로,동아풍림아파트,11
경로,벽산이삭아파트,11
경로,상동역1번출구.부천터미널소풍.홈플러스,11
경로,신중동역6번출구.중흥중학교,11
경로,백운역,10
경로,신동아3차아파트,10
경로,신선초등학교,10
경로,장미아파트,10
경로,충정로역2호선,10
경로,태화.두진아파트,10
경로,호반써밋송도,10
경로,간석오거리(인천웨딩홀),9
경로,남촌풍림2차아파트,9
경로,동춘2동행정복지센터,9
경로,미추홀구청입구,9
경로,서창센트럴푸르지오,9
경로,성문아파트(문화연립),9
경로,주안3동행정복지센터,9
경로,태화두진아파트,9
경로,풍림아파트,9
경로,학익시장(법원검찰청),9
경로,e편한세상정문,8
경로,금호2차아파트,8
경로,두산위브아파트,8
경로,부천시청역1번출구,8
경로,서울역,8
경로,신동아아파트3차,8
경로,신비마을아파트,8
경로,교보생명,7
경로,남동중학교,7
경로,대림아파트,7
경로,독정이고개,7
경로,송림오거리,7
경로,인천미래생활고등학교,7
경로,인천소방본부,7
경로,인천향교.인천도호부청사,7
경로,인천향교유림회관,7
경로,현대아파트,7
경로,힘찬병원,7
경로,교대역,6
경로,도림주공1단지,6
경로,도화오거리,6
경로,선바위역,6
경로,송도파크자이,6
경로,주안사거리,6
경로,주안파크자이더플래티넘아파트,6
경로,청능로사거리,6
경로,풍림1차아파트,6
경로,학익동성당앞,6
경로,한라아파트,6
경로,현광아파트(호산부인과),6
경로,논현사거리,5
경로,문학경로당,5
경로,벽산.이삭아파트,5
경로,용현3동행정복지센터.보훈병원,5
경로,토지금고시장앞,5
경로,풍림아이원아파트,5
경로,학익고등학교,5
경로,구월아시아드8단지,4
경로,남동구청후문(남동등기소),4
경로,동막역(3번출구),4
경로,동원아파트,4
경로,부평역,4
경로,서교동,4
경로,송도파크레인동일하이빌,4
경로,시민의숲.양재꽃시장,4
경로,신성성결교회(올림피아병원),4
경로,연안아파트,4
경로,연흥아파트,4
경로,한국아파트,4
경로,가좌농협,3
경로,구월2동행정복지센터,3
경로,굴다리오거리,3
경로,남동초등학교,3
경로,논현14단지등대마을휴먼시아아파트,3
경로,라이프아파트,3
경로,부평시장,3
경로,삼영아파트,3
경로,수봉공원,3
경로,숭의교회,3
경로,신동아1.2차아파트,3
경로,신동아아파트5차,3
경로,심곡극동아파트,3
경로,아현역,3
경로,양재역,3
경로,용정초등학교,3
경로,운연동,3
경로,운연역,3
경로,은지초등학교사거리,3
경로,인수초등학교,3
경로,정석항공과학고,3
경로,중구문화회관,3
경로,항운아파트,3
경로,금호아파트,2
경로,금호타운,2
경로,기점(미정차),2
경로,남동경찰서.남촌농산물도매시장,2
경로,논현12단지산뒤마을,2
경로,논현14단지등대마을,2
경로,도림아이파크아파트,2
경로,두산아파트,2
경로,롯데슈퍼,2
경로,만수주공4단지,2
경로,미추홀구청,2
경로,법원.검찰청,2
경로,새안의원,2
경로,순복음교회,2
경로,숭의역(2번출구),2
경로,십정2동행정복지센터,2
경로,쌍용아파트,2
경로,연학초등학교,2
경로,올리브백화점,2
경로,월드메르디앙아파트,2
경로,인천가정법원.인천지방법원등기국,2
경로,인천시청후문,2
경로,인하대역4번출구,2
경로,장천사거리,2
경로,정병원,2
경로,현대3차아파트,2
경로,2001아울렛,1
경로,CJ인천2공장,1
경로,가정(루원시티)역,1
경로,검암사거리,1
경로,극동.금호아파트,1
경로,금호어울림아파트,1
경로,남광로얄아파트,1
경로,남구평생학습센터,1
경로,남동세무서,1
경로,논현11단지단풍마을A정문,1
경로,도림주공208동,1
경로,도림주공2단지,1
경로,동춘동종점,1
경로,루원시티사거리,1
경로,모래내시장역(2번출구),1
경로,모래내시장역(3번출구),1
경로,문학정보고입구,1
경로,배다리,1
경로,삼성빌라(종점),1
경로,서창퍼스트뷰후문,1
경로,서초힐스아파트,1
경로,소래풍림아파트,1
경로,송도재래시장,1
경로,숭의로터리,1
경로,신동아아파트,1
경로,신천역.문화의거리,1
경로,연안부두어시장,1
경로,옹진군청,1
경로,용남파출소,1
경로,인천대입구역,1
경로,인하대정문,1
경로,작은구월사거리,1
경로,재흥시장,1
경로,정다운그린빌,1
경로,청운대삼거리(하늘꿈교회),1
경로,태평아파트.주안한신휴플러스아파트,1
경로,하나아파트,1
경로,하늘휴게소,1
경로,학익2동행정복지센터,1
경로,효성상아아파트,1
경로,힐스테이트학익104동앞,1
국가유공자,주안역환승정류장,290
국가유공자,신기.남부종합시장(진흥사거리),123
국가유공자,인하대역(1번출구),112
국가유공자,남중학교,108
국가유공자,주안역,106
국가유공자,동인천,99
국가유공자,인하대역(7번출구),99
국가유공자,용현시장,89
국가유공자,동막역(1번출구),85
국가유공자,(구)시민회관사거리,61
국가유공자,원흥아파트,59
국가유공자,용일사거리,52
국가유공자,쌍용아파트,45
국가유공자,복지회관,44
국가유공자,풍림아이원아파트,43
국가유공자,금호2차아파트,42
국가유공자,용현고개,42
국가유공자,신중동역6번출구.중흥중학교,40
국가유공자,신창아파트,39
국가유공자,기점(미정차),37
국가유공자,대동아파트,37
국가유공자,동인천역,37
국가유공자,롯데백화점(인천터미널),37
국가유공자,석바위,37
국가유공자,송도유원지(도로교통공단),36
국가유공자,용현3동행정복지센터.보훈병원,36
국가유공자,제물포역,36
국가유공자,송도파크레인동일하이빌,35
국가유공자,법원.검찰청,33
국가유공자,인하대역4번출구,32
국가유공자,토지금고시장,32
국가유공자,대림아파트,31
국가유공자,서창퍼스트뷰후문,31
국가유공자,학익시장앞,30
국가유공자,백운역,29
국가유공자,인수초등학교,29
국가유공자,금호타운,28
국가유공자,서창센트럴푸르지오,28
국가유공자,숭의로터리,27
국가유공자,용정초등학교,27
국가유공자,벽산아파트(미추홀도서관),26
국가유공자,송내역남부,26
국가유공자,남동구청후문(남동등기소),25
국가유공자,장미아파트,25
국가유공자,청능로사거리,25
국가유공자,도화오거리,23
국가유공자,서울역,23
국가유공자,인천시청후문,23
국가유공자,두산위브아파트,22
국가유공자,신동아아파트8차,22
국가유공자,학익고등학교,22
국가유공자,남동구청,21
국가유공자,부천시청역3번출구.경기예고.현대백화점,21
국가유공자,용현초등학교입구,21
국가유공자,윤성아파트(인항고교),21
국가유공자,호반써밋송도,21
국가유공자,구월2동행정복지센터,20
국가유공자,남동경찰서.남촌농산물도매시장,19
국가유공자,약대사거리,19
국가유공자,양재역,19
국가유공자,인명여자고등학교,19
국가유공자,인천소방본부,19
국가유공자,인하대후문,19
국가유공자,중구문화회관,19
국가유공자,교대역,18
국가유공자,길병원사거리,18
국가유공자,신동아아파트(B),18
국가유공자,은봉초등학교,18
국가유공자,인천향교유림회관,18
국가유공자,정병원,18
국가유공자,효성상아아파트,18
국가유공자,태화두진아파트,17
국가유공자,연학초등학교,16
국가유공자,SK스카이뷰104동,15
국가유공자,주안7동행정복지센터,15
국가유공자,토지금고시장앞,15
국가유공자,남광로얄아파트,14
국가유공자,신동아아파트,14
국가유공자,신동아아파트3차,14
국가유공자,관교중학교(약수터),13
국가유공자,인하대병원,13
국가유공자,학산사거리,13
국가유공자,남동초등학교,12
국가유공자,백산아파트,12
국가유공자,서화초등학교(도화e편한세상),12
국가유공자,학익시장(법원검찰청),12
국가유공자,강남역서초현대타워앞,11
국가유공자,라이프아파트,11
국가유공자,한국아파트,11
국가유공자,문학초등학교,10
국가유공자,삼익.광명아파트,10
국가유공자,수봉공원,10
국가유공자,인천정보과학고등학교,10
국가유공자,금호아파트,9
국가유공자,무지개아파트(동남아파트),9
국가유공자,문학고개,9
국가유공자,신포시장,9
국가유공자,유원아파트,9
국가유공자,학익2동행정복지센터,9
