이용자유형,정류장,count
경로,주안역환승정류장,597
경로,동인천,202
경로,신기.남부종합시장(진흥사거리),194
경로,인하대역(7번출구),194
경로,송내역남부,173
경로,롯데백화점(인천터미널),161
경로,토지금고시장,133
경로,주안역,114
경로,인하대역(1번출구),107
경로,(구)시민회관사거리,105
국가유공자,주안역환승정류장,290
국가유공자,신기.남부종합시장(진흥사거리),123
국가유공자,인하대역(1번출구),112
국가유공자,남중학교,108
국가유공자,주안역,106
국가유공자,동인천,99
국가유공자,인하대역(7번출구),99
국가유공자,용현시장,89
국가유공자,동막역(1번출구),85
국가유공자,(구)시민회관사거리,61
어린이,인하대역(7번출구),265
어린이,주안역환승정류장,195
어린이,풍림아이원아파트,164
어린이,롯데백화점(인천터미널),141
어린이,문학초등학교,129
어린이,남중학교,107
어린이,인하대역(1번출구),83
어린이,동아풍림아파트,76
어린이,신동아아파트3차,71
어린이,인하대후문,60
일반인,주안역환승정류장,649
일반인,롯데백화점(인천터미널),606
일반인,주안역,186
일반인,신기.남부종합시장(진흥사거리),165
일반인,동인천,157
일반인,인하대역(7번출구),153
일반인,토지금고시장,140
일반인,송내역남부,130
일반인,남중학교,125
일반인,(구)시민회관사거리,113
장애인,주안역환승정류장,412
장애인,롯데백화점(인천터미널),173
장애인,(구)시민회관사거리,165
장애인,동인천,149
장애인,송내역남부,128
장애인,주안역,124
장애인,인하대역(7번출구),112
장애인,남중학교,100
장애인,동인천역,87
장애인,신기.남부종합시장(진흥사거리),87
청소년,인하대역(7번출구),359
청소년,주안역환승정류장,309
청소년,동인천역,252
청소년,롯데백화점(인천터미널),221
청소년,인하대역(1번출구),136
청소년,남중학교,126
청소년,주안역,126
청소년,풍림아이원아파트,121
청소년,신동아아파트,97
청소년,제물포역,97
