정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),Unnamed: 54
인하대정문,37104,111-2,동춘동차고지 - 동춘동차고지,2023-01,일반인,0,0,2,49,0,37,15,72,13,158,15,119,15,96,45,89,44,128,70,130,46,135,71,107,116,141,108,123,87,191,42,93,75,73,45,79,70,84,25,21,0,0,0,0,0,0,0,0,
인하대정문,37104,111-2,동춘동차고지 - 동춘동차고지,2023-01,어린이,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,2,0,3,3,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
인하대정문,37104,111-2,동춘동차고지 - 동춘동차고지,2023-01,청소년,0,0,0,0,0,0,2,2,0,8,0,4,3,7,5,6,2,19,5,5,11,19,20,13,14,13,11,18,2,10,1,17,3,11,8,2,2,6,4,4,0,0,0,0,0,0,0,0,
인하대정문,37104,111-2,동춘동차고지 - 동춘동차고지,2023-01,경로,0,0,2,0,0,0,0,0,0,0,1,1,0,3,0,0,0,1,0,7,0,4,1,2,0,1,0,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
인하대정문,37104,111-2,동춘동차고지 - 동춘동차고지,2023-01,장애인,0,0,0,0,0,3,0,0,0,0,0,0,17,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
인하대정문,37104,111-2,동춘동차고지 - 동춘동차고지,2023-01,국가유공자,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
인하대정문,37104,1601,인하대후문 - 인하대정문,2023-01,일반인,0,0,0,0,0,0,0,35,0,6,0,30,0,21,0,21,0,30,0,20,0,18,0,16,0,24,0,16,0,14,0,23,0,13,0,31,0,49,0,45,0,102,0,73,1,92,0,0,
인하대정문,37104,1601,인하대후문 - 인하대정문,2023-01,청소년,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,6,0,3,0,6,0,4,0,0,0,0,0,0,
인하대정문,37104,1601,인하대후문 - 인하대정문,2023-01,경로,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
인하대정문,37104,46,신흥교통입구 - 신흥교통입구,2023-01,일반인,0,0,0,13,3,36,14,73,27,75,6,69,25,53,14,46,15,62,19,57,10,55,16,54,35,78,31,83,17,68,11,68,16,38,9,39,11,38,9,6,0,0,0,0,0,0,0,0,
