정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),Unnamed: 54
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-01,일반인,0,0,152,6,282,27,697,79,689,234,542,294,708,223,1141,170,1418,214,1550,203,1719,185,2148,188,3246,171,3277,283,2724,315,1631,219,1391,174,1765,131,1662,137,573,44,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-01,어린이,0,0,0,0,0,0,0,0,0,0,1,2,4,1,1,7,4,13,4,12,13,15,18,10,14,28,21,8,6,5,1,0,5,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-01,청소년,0,0,12,0,3,0,10,1,30,37,15,6,15,10,53,8,106,38,118,30,188,24,195,36,474,43,133,34,117,27,89,35,95,18,77,11,84,8,14,1,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-01,경로,0,0,2,0,0,0,1,0,20,1,22,6,10,3,17,3,15,4,14,8,25,3,19,1,15,3,12,2,4,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-01,장애인,0,0,0,3,0,0,2,0,0,0,2,4,3,0,1,0,3,0,5,0,5,1,1,0,14,0,3,0,2,0,2,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-01,국가유공자,0,0,0,0,0,0,10,0,1,0,0,2,0,0,4,0,2,1,0,2,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-02,일반인,0,0,123,2,299,38,648,66,694,247,626,269,822,218,1194,173,1539,176,1755,183,2075,143,2333,152,3646,178,3247,238,2948,256,1890,172,1621,194,2140,133,2042,109,730,32,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-02,어린이,0,0,0,0,0,0,0,0,0,0,1,0,0,5,4,9,7,10,12,18,12,16,7,7,5,8,9,2,6,2,5,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-02,청소년,0,0,11,0,1,1,2,0,30,20,31,4,24,3,62,10,102,36,207,38,182,41,178,40,227,29,195,28,119,39,128,8,119,9,206,24,181,5,54,3,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-02,경로,0,0,1,0,0,0,8,0,22,0,18,4,20,3,15,8,17,3,22,18,35,2,25,2,17,0,4,1,5,1,1,0,4,1,2,0,3,0,1,0,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-02,장애인,0,0,0,3,0,0,3,0,3,0,2,4,4,0,3,0,2,0,7,0,2,1,4,0,16,1,3,1,1,0,1,0,1,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-02,국가유공자,0,0,0,0,0,0,7,0,2,0,0,0,2,0,4,0,3,0,0,0,0,0,2,0,2,0,8,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-03,일반인,0,0,160,2,313,48,691,53,804,337,732,474,1570,384,2802,227,3101,216,4569,276,5814,202,5857,137,4770,180,6119,279,5994,315,4808,218,4514,144,5439,182,5170,131,1915,54,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-03,어린이,0,0,0,0,0,0,0,0,1,2,0,0,1,1,1,4,5,14,3,21,10,9,3,7,6,10,12,4,4,1,8,2,7,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-03,청소년,0,0,41,0,15,4,12,3,45,169,45,27,132,16,210,17,475,30,449,37,815,27,1386,42,862,46,973,28,599,31,577,27,528,9,513,4,719,12,238,2,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-03,경로,0,0,2,0,1,0,12,0,22,1,25,5,20,4,18,4,32,10,40,9,26,1,38,5,16,5,8,6,6,1,3,0,6,3,5,0,4,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-03,장애인,0,0,0,0,0,1,3,0,4,2,4,6,3,0,1,0,6,2,5,0,3,0,5,0,9,0,5,0,4,0,3,0,2,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-03,국가유공자,0,0,0,0,0,0,10,0,1,0,1,4,1,4,1,0,0,0,1,0,1,0,5,0,0,1,3,0,2,0,0,0,1,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-04,일반인,0,0,228,4,322,48,656,76,734,360,805,395,1424,335,2855,259,2993,206,3983,274,5270,211,5249,173,4544,194,5345,266,5061,245,3992,189,3903,148,4483,154,4213,109,1552,51,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-04,어린이,0,0,0,0,0,0,0,0,0,7,2,0,0,1,1,1,7,8,3,5,6,12,14,9,4,13,9,8,11,1,10,4,8,4,7,0,2,0,1,0,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-04,청소년,0,0,76,0,19,1,30,5,40,133,41,25,111,10,216,10,366,15,328,32,573,22,911,32,620,29,637,39,484,23,504,21,389,10,417,10,524,5,204,4,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-04,경로,0,0,2,0,1,0,6,0,32,1,20,3,12,5,18,3,25,4,37,3,20,2,27,1,12,0,5,4,7,0,2,0,4,4,3,0,4,0,0,1,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-04,장애인,0,0,1,0,3,0,4,0,2,0,7,6,5,0,2,1,5,3,5,0,0,1,2,0,13,0,6,0,0,0,3,0,1,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-04,국가유공자,0,0,0,0,0,0,10,0,0,1,1,2,1,2,0,1,1,0,0,0,2,1,1,0,0,0,6,0,0,1,0,0,0,1,3,0,1,0,2,0,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-05,일반인,0,0,386,1,400,71,826,68,737,387,818,450,1379,402,2549,272,3043,250,3882,324,5302,199,5469,191,4655,221,5655,250,5394,310,4280,208,4040,195,5103,158,5168,126,2221,64,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-05,어린이,0,0,0,0,0,0,0,1,0,1,0,0,1,1,2,7,4,4,6,11,9,11,12,15,9,11,9,7,17,9,12,3,16,6,3,1,6,0,3,0,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-05,청소년,0,0,63,0,25,0,19,9,36,113,43,31,80,17,189,14,452,30,402,62,521,33,865,43,613,24,710,57,476,62,427,33,381,17,451,13,646,11,316,3,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-05,경로,0,0,2,0,2,0,6,0,12,1,18,4,9,4,12,1,35,5,25,4,26,1,26,0,16,0,6,2,7,0,4,0,3,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37165,511,독배로317번길(삼거리) - SK스카이뷰,2023-05,장애인,0,0,1,0,11,1,13,1,2,2,4,4,1,0,1,0,7,0,2,0,6,0,4,0,7,1,7,0,8,0,6,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,
