정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
인하대후문,37167,13,신흥교통 - 신흥교통,2023-12,일반인,0,0,62,7,23,35,45,26,31,190,62,127,63,140,55,85,92,131,131,155,100,115,165,96,206,106,134,127,149,143,101,123,103,68,143,63,120,54,89,48,0,0,0,0,0,0,0,0,
인하대후문,37167,13,신흥교통 - 신흥교통,2023-12,어린이,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,2,6,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37167,13,신흥교통 - 신흥교통,2023-12,청소년,0,0,0,0,0,0,0,1,0,1,0,2,0,7,3,12,4,8,8,23,6,25,6,8,23,12,17,18,22,9,20,5,14,3,10,5,9,1,6,0,0,0,0,0,0,0,0,0,
인하대후문,37167,13,신흥교통 - 신흥교통,2023-12,경로,0,0,0,0,0,10,0,0,0,0,0,1,0,3,1,0,0,3,1,7,3,3,0,0,1,1,3,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,
인하대후문,37167,13,신흥교통 - 신흥교통,2023-12,장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37167,13,신흥교통 - 신흥교통,2023-12,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37167,27,항동7가버스차고지 - 항동7가버스차고지,2023-12,일반인,0,0,36,10,45,25,42,99,33,257,39,249,58,263,55,224,74,276,83,312,112,228,104,203,224,266,175,258,144,329,107,301,100,215,120,218,114,191,72,120,0,0,0,0,0,0,0,0,
인하대후문,37167,27,항동7가버스차고지 - 항동7가버스차고지,2023-12,어린이,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,2,3,1,0,5,0,6,2,1,3,7,0,13,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37167,27,항동7가버스차고지 - 항동7가버스차고지,2023-12,청소년,0,0,1,0,2,0,10,0,1,5,0,17,1,6,4,7,16,32,2,31,21,39,25,46,58,63,27,54,32,34,36,11,25,23,15,16,18,8,7,3,0,0,0,0,0,0,0,0,
인하대후문,37167,27,항동7가버스차고지 - 항동7가버스차고지,2023-12,경로,0,0,0,0,0,0,0,0,2,1,2,0,1,0,0,0,4,4,1,4,0,1,4,1,4,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37167,27,항동7가버스차고지 - 항동7가버스차고지,2023-12,장애인,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37167,27,항동7가버스차고지 - 항동7가버스차고지,2023-12,국가유공자,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37167,511,독배로317번길(삼거리) - SK스카이뷰,2023-12,일반인,0,0,6,62,120,506,285,958,240,3689,289,3525,258,3052,316,2583,398,3034,402,2827,499,2326,499,1809,519,1618,549,1988,543,2360,384,1825,346,1476,323,1342,299,1375,225,1233,0,9,0,0,0,0,0,0,
인하대후문,37167,511,독배로317번길(삼거리) - SK스카이뷰,2023-12,어린이,0,0,0,0,0,0,1,1,1,1,0,0,0,2,4,15,5,11,5,8,10,8,7,13,22,19,10,3,9,11,13,4,9,0,2,3,4,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37167,511,독배로317번길(삼거리) - SK스카이뷰,2023-12,청소년,0,0,0,0,8,7,8,37,16,163,4,107,6,67,20,53,24,138,32,112,41,90,44,126,31,113,67,117,70,99,46,96,45,51,37,38,29,59,10,25,0,0,0,0,0,0,0,0,
인하대후문,37167,511,독배로317번길(삼거리) - SK스카이뷰,2023-12,경로,0,0,0,0,0,26,1,10,19,2,4,14,4,13,0,13,1,24,1,14,2,13,3,8,1,24,3,9,0,13,0,9,2,7,2,3,1,6,0,5,0,0,0,0,0,0,0,0,
인하대후문,37167,511,독배로317번길(삼거리) - SK스카이뷰,2023-12,장애인,0,0,0,3,0,2,0,0,7,5,3,9,2,4,1,6,1,3,1,6,0,3,0,1,0,4,0,5,0,2,0,10,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,
인하대후문,37167,511,독배로317번길(삼거리) - SK스카이뷰,2023-12,국가유공자,0,0,0,0,0,10,0,1,0,0,0,1,0,0,1,1,0,0,1,2,0,3,1,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37167,512,인하대후문 - 인하대후문,2023-12,일반인,0,0,4,0,2,8,4,15,71,98,51,120,17,53,47,62,62,83,57,44,53,44,69,30,76,38,42,18,101,47,53,24,71,37,90,28,53,10,1,21,0,0,0,0,0,0,0,0,
인하대후문,37167,512,인하대후문 - 인하대후문,2023-12,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,12,0,5,0,4,5,5,4,1,3,0,4,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,
인하대후문,37167,512,인하대후문 - 인하대후문,2023-12,청소년,0,0,0,0,1,0,0,0,0,0,1,2,0,2,0,4,0,6,1,1,4,4,12,5,3,2,6,2,22,4,10,0,1,6,5,1,2,3,0,1,0,0,0,0,0,0,0,0,
