정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
장미아파트(19동)앞,37474,46,신흥교통입구 - 신흥교통입구,2023-06,일반인,0,0,9,5,2,5,32,14,53,36,15,32,30,35,50,21,44,25,40,17,87,22,71,22,85,51,88,40,46,54,33,41,7,26,9,16,14,15,0,0,0,0,0,0,0,0,0,0,
장미아파트(19동)앞,37474,46,신흥교통입구 - 신흥교통입구,2023-06,어린이,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,4,8,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
장미아파트(19동)앞,37474,46,신흥교통입구 - 신흥교통입구,2023-06,청소년,0,1,0,0,0,0,2,18,7,17,2,6,3,7,8,1,5,0,6,1,21,0,27,9,23,18,23,4,5,3,7,1,3,3,1,3,7,1,0,0,0,0,0,0,0,0,0,0,
장미아파트(19동)앞,37474,46,신흥교통입구 - 신흥교통입구,2023-06,경로,0,0,0,0,0,1,0,2,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
장미아파트(19동)앞,37474,46,신흥교통입구 - 신흥교통입구,2023-06,장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
장미아파트(19동)앞,37474,46,신흥교통입구 - 신흥교통입구,2023-06,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
장미아파트(19동)앞,37474,5,신명아파트.대우3차아파트 - 늘푸른벽산.서강2차,2023-06,일반인,0,0,8,2,19,3,6,8,6,33,14,46,23,23,29,30,31,15,30,22,50,26,50,33,71,37,92,38,39,64,17,20,8,13,9,14,9,7,7,2,0,0,0,0,0,0,0,0,
장미아파트(19동)앞,37474,5,신명아파트.대우3차아파트 - 늘푸른벽산.서강2차,2023-06,어린이,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,6,11,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
장미아파트(19동)앞,37474,5,신명아파트.대우3차아파트 - 늘푸른벽산.서강2차,2023-06,청소년,0,0,1,0,0,0,2,2,3,16,3,13,5,3,10,5,8,5,2,3,19,2,25,20,27,9,31,3,9,3,8,4,4,0,4,4,6,0,0,1,0,0,0,0,0,0,0,0,
장미아파트(19동)앞,37474,5,신명아파트.대우3차아파트 - 늘푸른벽산.서강2차,2023-06,경로,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,1,0,1,0,1,0,0,0,0,0,2,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
장미아파트(19동)앞,37474,5,신명아파트.대우3차아파트 - 늘푸른벽산.서강2차,2023-06,장애인,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
장미아파트(19동)앞,37474,5-1,용현동성원상떼빌아파트 - 용현동성원상떼빌아파트,2023-06,일반인,0,0,1,0,4,2,9,2,27,29,28,16,16,14,21,15,16,26,8,25,19,28,31,19,43,24,35,34,18,21,18,31,3,13,4,7,0,11,6,9,0,0,0,0,0,0,0,0,
장미아파트(19동)앞,37474,5-1,용현동성원상떼빌아파트 - 용현동성원상떼빌아파트,2023-06,어린이,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,9,7,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
장미아파트(19동)앞,37474,5-1,용현동성원상떼빌아파트 - 용현동성원상떼빌아파트,2023-06,청소년,0,0,0,0,0,0,0,0,0,43,0,2,0,1,6,1,3,0,3,2,4,4,3,4,8,7,3,5,2,3,1,7,5,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,
장미아파트(19동)앞,37474,5-1,용현동성원상떼빌아파트 - 용현동성원상떼빌아파트,2023-06,경로,0,0,0,0,0,0,1,0,1,2,0,0,0,1,0,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
장미아파트(19동)앞,37474,5-1,용현동성원상떼빌아파트 - 용현동성원상떼빌아파트,2023-06,장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
장미아파트(19동)앞,37474,516,현광아파트후문 - 현광아파트후문앞,2023-06,일반인,0,0,25,5,1,3,0,8,22,22,7,21,15,13,30,12,28,10,13,19,20,12,19,15,41,25,16,22,27,16,3,16,2,10,1,18,1,6,6,9,1,4,0,0,0,0,0,0,
장미아파트(19동)앞,37474,516,현광아파트후문 - 현광아파트후문앞,2023-06,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
장미아파트(19동)앞,37474,516,현광아파트후문 - 현광아파트후문앞,2023-06,청소년,0,0,0,0,0,0,20,1,76,7,0,5,4,1,1,1,1,3,0,6,8,2,14,1,6,0,3,2,5,0,2,0,2,0,2,0,1,2,2,1,1,0,0,0,0,0,0,0,
장미아파트(19동)앞,37474,516,현광아파트후문 - 현광아파트후문앞,2023-06,경로,0,0,0,0,1,0,4,0,1,2,1,0,4,1,2,0,2,2,1,0,3,2,12,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
장미아파트(19동)앞,37474,516,현광아파트후문 - 현광아파트후문앞,2023-06,장애인,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
장미아파트(19동)앞,37474,516,현광아파트후문 - 현광아파트후문앞,2023-06,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
