정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
장미아파트,37094,111-2,동춘동차고지 - 동춘동차고지,2023-09,일반인,0,0,6,10,33,29,116,91,77,356,81,400,90,501,64,143,95,267,74,281,89,169,114,173,179,136,235,162,112,192,63,161,51,154,33,141,32,230,5,44,0,0,0,0,0,0,0,0,
장미아파트,37094,111-2,동춘동차고지 - 동춘동차고지,2023-09,어린이,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,3,2,1,2,2,6,7,6,0,3,1,1,0,0,1,2,1,1,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,
장미아파트,37094,111-2,동춘동차고지 - 동춘동차고지,2023-09,청소년,0,0,0,0,1,1,84,11,12,89,3,66,5,39,8,30,8,22,6,34,13,26,17,21,94,38,171,23,38,17,20,26,16,15,12,21,6,16,11,5,0,0,0,0,0,0,0,0,
장미아파트,37094,111-2,동춘동차고지 - 동춘동차고지,2023-09,경로,0,0,0,0,0,0,0,0,1,0,0,3,2,4,0,1,2,1,1,5,0,4,0,2,0,1,0,1,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
장미아파트,37094,111-2,동춘동차고지 - 동춘동차고지,2023-09,장애인,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,2,0,8,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
장미아파트,37094,111-2,동춘동차고지 - 동춘동차고지,2023-09,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
장미아파트,37094,1601,인하대후문 - 인하대정문,2023-09,일반인,0,0,0,0,0,0,0,18,0,30,0,8,0,26,0,10,0,32,0,5,0,9,7,11,0,10,0,6,0,13,0,12,0,18,0,10,0,18,1,26,0,24,0,27,0,19,0,0,
장미아파트,37094,1601,인하대후문 - 인하대정문,2023-09,어린이,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
장미아파트,37094,1601,인하대후문 - 인하대정문,2023-09,청소년,0,0,0,0,0,0,0,2,0,3,0,5,0,1,0,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
장미아파트,37094,1601,인하대후문 - 인하대정문,2023-09,경로,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
장미아파트,37094,515,인천지방법원 - 인천지방법원,2023-09,일반인,0,0,13,2,39,5,73,2,20,8,22,6,24,10,14,6,31,10,21,6,23,9,33,6,65,7,38,4,32,9,6,4,9,1,5,0,5,2,1,6,0,0,0,0,0,0,0,0,
장미아파트,37094,515,인천지방법원 - 인천지방법원,2023-09,어린이,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,3,0,0,0,5,1,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
장미아파트,37094,515,인천지방법원 - 인천지방법원,2023-09,청소년,0,0,0,0,0,0,0,6,2,11,2,0,2,0,5,0,4,0,5,0,4,0,18,1,58,3,23,1,22,0,14,0,8,0,1,0,9,0,1,0,0,0,0,0,0,0,0,0,
장미아파트,37094,515,인천지방법원 - 인천지방법원,2023-09,경로,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
장미아파트,37094,515,인천지방법원 - 인천지방법원,2023-09,장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
장미아파트,37094,515,인천지방법원 - 인천지방법원,2023-09,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
장미아파트,37094,517,기점(미정차) - 신창아파트,2023-09,일반인,0,0,11,0,36,0,129,11,177,21,67,11,66,16,61,12,118,14,78,9,85,15,137,14,151,2,222,11,115,4,67,0,31,1,33,7,19,2,10,2,0,0,0,0,0,0,0,0,
장미아파트,37094,517,기점(미정차) - 신창아파트,2023-09,어린이,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,10,0,21,0,25,3,4,0,5,0,4,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
장미아파트,37094,517,기점(미정차) - 신창아파트,2023-09,청소년,0,0,0,0,1,0,21,18,14,13,6,2,3,0,12,4,9,2,8,0,10,0,12,1,18,2,34,4,20,2,16,0,8,0,2,0,6,0,3,0,0,0,0,0,0,0,0,0,
장미아파트,37094,517,기점(미정차) - 신창아파트,2023-09,경로,0,0,0,0,0,0,2,0,0,1,2,0,4,0,3,0,2,2,0,3,2,1,0,0,0,1,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
장미아파트,37094,519,기점(미정차) - 신창아파트,2023-09,일반인,0,0,0,0,93,3,80,10,128,31,87,10,61,13,60,4,138,12,84,16,60,9,102,9,140,8,173,7,98,6,68,6,37,9,50,3,27,1,5,0,0,0,0,0,0,0,0,0,
장미아파트,37094,519,기점(미정차) - 신창아파트,2023-09,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,7,0,14,2,1,0,17,0,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
장미아파트,37094,519,기점(미정차) - 신창아파트,2023-09,청소년,0,0,0,0,3,0,18,0,2,22,2,0,10,0,6,2,8,0,7,1,14,3,18,3,32,0,36,8,22,3,17,0,2,0,5,0,13,1,7,0,0,0,0,0,0,0,0,0,
장미아파트,37094,519,기점(미정차) - 신창아파트,2023-09,경로,0,0,0,0,1,0,0,0,0,0,2,0,1,2,4,0,2,0,3,0,3,0,1,1,3,0,1,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
장미아파트,37094,519,기점(미정차) - 신창아파트,2023-09,장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
장미아파트,37094,8,인천대학교공과대학 - 인천대학교공과대학,2023-09,일반인,0,0,43,66,89,65,193,149,135,800,115,704,112,789,148,217,154,394,113,505,140,244,237,259,333,219,302,218,169,240,107,168,88,149,80,141,47,115,35,68,0,0,0,0,0,0,0,0,
장미아파트,37094,8,인천대학교공과대학 - 인천대학교공과대학,2023-09,어린이,0,0,0,0,0,0,0,0,1,44,0,4,2,2,0,0,3,3,3,4,3,2,12,3,6,3,5,2,10,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
장미아파트,37094,8,인천대학교공과대학 - 인천대학교공과대학,2023-09,청소년,0,0,2,2,0,2,55,9,106,62,8,100,8,69,23,32,27,48,11,54,37,22,46,22,266,42,189,20,43,18,44,21,29,7,19,9,20,25,23,9,0,0,0,0,0,0,0,0,
장미아파트,37094,8,인천대학교공과대학 - 인천대학교공과대학,2023-09,경로,0,0,1,1,1,4,1,3,0,5,0,5,2,5,1,3,9,7,0,8,2,3,3,7,3,4,4,2,0,2,0,4,8,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,
장미아파트,37094,8,인천대학교공과대학 - 인천대학교공과대학,2023-09,장애인,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,1,2,0,0,0,0,3,0,0,2,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
장미아파트,37094,8,인천대학교공과대학 - 인천대학교공과대학,2023-09,국가유공자,0,0,0,0,0,0,0,1,0,4,0,5,0,3,0,0,1,0,2,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
장미아파트,37094,9200,송도파크레인동일하이빌 - 송도파크레인동일하이빌,2023-09,일반인,0,0,0,0,0,0,0,60,0,94,0,126,1,193,1,62,1,98,0,84,0,61,2,64,3,91,3,63,3,93,8,168,3,277,8,256,1,256,1,249,10,215,6,114,0,1,0,0,
장미아파트,37094,9200,송도파크레인동일하이빌 - 송도파크레인동일하이빌,2023-09,청소년,0,0,0,0,0,0,0,3,0,4,0,17,0,7,0,0,0,2,0,3,0,5,1,1,0,4,1,3,1,6,0,1,0,1,0,6,0,9,0,14,0,4,0,0,0,0,0,0,
장미아파트,37094,9200,송도파크레인동일하이빌 - 송도파크레인동일하이빌,2023-09,경로,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
장미아파트,37094,9200,송도파크레인동일하이빌 - 송도파크레인동일하이빌,2023-09,장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
