정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),Unnamed: 54
장미아파트,37094,111-2,동춘동차고지 - 동춘동차고지,2023-01,일반인,0,0,3,17,51,23,119,31,75,131,82,53,54,60,50,58,61,97,65,48,58,79,56,95,110,104,80,107,52,111,31,114,21,118,32,116,26,146,10,33,0,0,0,0,0,0,0,0,
장미아파트,37094,111-2,동춘동차고지 - 동춘동차고지,2023-01,어린이,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,0,0,0,0,0,2,3,1,6,1,1,2,5,6,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
장미아파트,37094,111-2,동춘동차고지 - 동춘동차고지,2023-01,청소년,0,0,0,1,0,0,7,0,5,12,2,2,2,10,5,4,8,18,6,8,12,17,11,9,10,21,11,15,13,13,11,14,9,15,2,6,3,10,1,2,0,0,0,0,0,0,0,0,
장미아파트,37094,111-2,동춘동차고지 - 동춘동차고지,2023-01,경로,0,0,1,0,0,0,0,0,2,0,0,0,1,0,2,1,0,2,0,5,1,6,0,3,2,0,1,1,0,1,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
장미아파트,37094,111-2,동춘동차고지 - 동춘동차고지,2023-01,장애인,0,0,0,0,0,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
장미아파트,37094,111-2,동춘동차고지 - 동춘동차고지,2023-01,국가유공자,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
장미아파트,37094,1601,인하대후문 - 인하대정문,2023-01,일반인,0,0,0,0,0,0,0,3,0,0,0,8,0,1,0,4,0,6,0,1,2,6,0,3,0,2,0,3,0,4,0,1,0,19,0,19,0,12,0,15,0,28,0,28,0,23,0,0,
장미아파트,37094,1601,인하대후문 - 인하대정문,2023-01,청소년,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
장미아파트,37094,515,인천지방법원 - 인천지방법원,2023-01,일반인,0,0,18,0,32,3,71,5,34,13,31,3,16,2,17,6,16,10,15,4,17,4,16,6,28,6,15,5,13,12,13,6,3,2,2,0,1,2,2,1,0,0,0,0,0,0,0,0,
장미아파트,37094,515,인천지방법원 - 인천지방법원,2023-01,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
장미아파트,37094,515,인천지방법원 - 인천지방법원,2023-01,청소년,0,0,0,0,0,0,2,0,1,1,2,0,3,0,1,0,0,0,2,1,6,0,2,0,2,0,4,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
장미아파트,37094,515,인천지방법원 - 인천지방법원,2023-01,경로,0,0,1,0,0,0,0,0,2,0,1,0,1,0,0,2,2,0,0,1,0,1,1,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
