정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),Unnamed: 54
정석항공과학고,37168,1601,인하대후문 - 인하대정문,2023-01,일반인,24,1,5,0,1,0,12,0,7,1,4,0,6,0,8,0,10,0,11,0,11,0,7,0,17,0,36,0,24,0,17,0,3,0,22,0,14,0,34,0,0,0,0,0,0,0,0,0,
정석항공과학고,37168,1601,인하대후문 - 인하대정문,2023-01,청소년,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
정석항공과학고,37168,27,항동7가버스차고지 - 항동7가버스차고지,2023-01,일반인,0,0,19,2,54,20,51,12,90,62,148,65,133,74,169,99,240,103,272,110,323,130,339,158,549,161,451,226,534,477,260,263,233,190,190,156,153,252,0,0,0,0,0,0,0,0,0,0,
정석항공과학고,37168,27,항동7가버스차고지 - 항동7가버스차고지,2023-01,어린이,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,2,4,7,8,8,3,5,4,6,4,10,3,2,5,0,3,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
정석항공과학고,37168,27,항동7가버스차고지 - 항동7가버스차고지,2023-01,청소년,0,0,0,0,1,1,0,5,5,8,3,2,3,3,5,7,27,18,37,15,41,17,42,36,81,28,31,32,41,26,17,14,18,10,27,3,18,6,0,0,0,0,0,0,0,0,0,0,
정석항공과학고,37168,27,항동7가버스차고지 - 항동7가버스차고지,2023-01,경로,0,0,0,0,0,0,0,1,3,0,2,0,2,2,2,2,4,3,1,7,4,9,3,3,3,6,2,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,
정석항공과학고,37168,27,항동7가버스차고지 - 항동7가버스차고지,2023-01,장애인,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
정석항공과학고,37168,27,항동7가버스차고지 - 항동7가버스차고지,2023-01,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
정석항공과학고,37168,511,독배로317번길(삼거리) - SK스카이뷰,2023-01,일반인,0,0,224,6,681,11,1389,50,1153,102,801,62,725,69,936,57,1001,61,1013,62,881,84,945,80,1066,101,1069,127,868,203,557,140,502,126,436,159,354,198,116,65,0,0,0,0,0,0,0,0,
정석항공과학고,37168,511,독배로317번길(삼거리) - SK스카이뷰,2023-01,어린이,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,1,1,3,0,2,2,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
정석항공과학고,37168,511,독배로317번길(삼거리) - SK스카이뷰,2023-01,청소년,0,0,1,0,9,0,4,5,3,34,20,5,26,10,36,10,85,10,72,2,92,2,74,2,250,3,92,6,51,7,28,1,21,2,9,4,1,9,6,9,0,0,0,0,0,0,0,0,
정석항공과학고,37168,511,독배로317번길(삼거리) - SK스카이뷰,2023-01,경로,0,0,12,0,0,0,5,1,54,2,7,5,25,2,9,0,23,1,19,0,10,0,31,1,23,3,14,1,10,2,8,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
정석항공과학고,37168,511,독배로317번길(삼거리) - SK스카이뷰,2023-01,장애인,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,2,0,2,0,1,0,2,0,1,0,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
정석항공과학고,37168,511,독배로317번길(삼거리) - SK스카이뷰,2023-01,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
정석항공과학고,37168,1601,인하대후문 - 인하대정문,2023-02,일반인,19,0,2,0,0,0,17,0,16,0,5,2,2,0,10,0,18,0,19,0,17,0,9,0,13,0,23,1,14,0,6,0,2,0,15,0,14,1,64,0,0,0,0,0,0,0,0,0,
정석항공과학고,37168,1601,인하대후문 - 인하대정문,2023-02,청소년,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,4,0,1,0,2,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,
정석항공과학고,37168,27,항동7가버스차고지 - 항동7가버스차고지,2023-02,일반인,0,0,8,0,29,8,54,26,82,75,153,54,129,73,196,73,289,90,290,118,321,132,383,156,542,144,379,232,465,443,245,273,252,188,250,148,166,182,0,0,0,0,0,0,0,0,0,0,
정석항공과학고,37168,27,항동7가버스차고지 - 항동7가버스차고지,2023-02,어린이,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,3,3,3,5,9,2,1,7,3,1,5,10,6,6,10,0,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
정석항공과학고,37168,27,항동7가버스차고지 - 항동7가버스차고지,2023-02,청소년,0,0,1,0,0,0,6,1,3,5,1,9,4,6,14,13,44,9,28,13,23,8,38,15,58,19,34,21,33,22,26,13,21,6,27,4,19,4,0,0,0,0,0,0,0,0,0,0,
정석항공과학고,37168,27,항동7가버스차고지 - 항동7가버스차고지,2023-02,경로,0,0,0,0,1,0,0,1,13,1,5,0,2,0,5,3,3,1,5,3,1,10,4,5,3,4,1,5,1,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,
정석항공과학고,37168,27,항동7가버스차고지 - 항동7가버스차고지,2023-02,장애인,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,
정석항공과학고,37168,27,항동7가버스차고지 - 항동7가버스차고지,2023-02,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
정석항공과학고,37168,511,독배로317번길(삼거리) - SK스카이뷰,2023-02,일반인,0,0,175,7,664,12,1100,49,1116,103,877,79,732,51,945,47,1114,79,976,76,909,63,880,86,1042,105,940,102,884,192,566,126,545,113,402,208,339,220,118,62,0,0,0,0,0,0,0,0,
정석항공과학고,37168,511,독배로317번길(삼거리) - SK스카이뷰,2023-02,어린이,0,0,0,0,0,0,1,0,0,0,0,0,2,1,2,0,1,0,1,3,3,0,0,0,2,2,1,2,10,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
정석항공과학고,37168,511,독배로317번길(삼거리) - SK스카이뷰,2023-02,청소년,0,0,7,0,3,0,10,2,9,26,16,6,29,15,22,2,147,4,107,4,45,3,54,3,67,4,47,5,38,3,25,6,23,2,25,5,12,8,1,11,0,0,0,0,0,0,0,0,
정석항공과학고,37168,511,독배로317번길(삼거리) - SK스카이뷰,2023-02,경로,0,0,12,0,2,0,5,5,40,1,13,1,18,5,7,1,17,1,11,1,16,0,23,4,18,2,15,2,6,0,3,0,1,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,
정석항공과학고,37168,511,독배로317번길(삼거리) - SK스카이뷰,2023-02,장애인,0,0,0,2,0,0,0,0,1,0,0,0,2,0,1,1,4,0,1,0,3,1,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
정석항공과학고,37168,511,독배로317번길(삼거리) - SK스카이뷰,2023-02,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
정석항공과학고,37168,1601,인하대후문 - 인하대정문,2023-03,일반인,42,1,5,0,1,0,16,0,7,1,3,0,2,0,17,0,21,0,40,0,32,0,28,0,141,0,49,2,68,0,21,0,6,0,47,0,52,1,125,0,0,0,0,0,0,0,0,0,
정석항공과학고,37168,1601,인하대후문 - 인하대정문,2023-03,청소년,3,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,1,0,5,0,0,0,12,0,1,0,7,0,2,0,0,0,0,0,2,0,11,0,0,0,0,0,0,0,0,0,
정석항공과학고,37168,1601,인하대후문 - 인하대정문,2023-03,경로,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
정석항공과학고,37168,1601,인하대후문 - 인하대정문,2023-03,장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
정석항공과학고,37168,27,항동7가버스차고지 - 항동7가버스차고지,2023-03,일반인,0,0,22,1,38,16,94,40,105,176,167,84,178,102,244,104,379,141,449,102,643,115,671,152,821,154,839,296,959,436,513,339,370,218,432,214,316,201,0,0,0,0,0,0,0,0,0,0,
정석항공과학고,37168,27,항동7가버스차고지 - 항동7가버스차고지,2023-03,어린이,0,0,0,0,0,0,38,0,2,1,0,0,2,1,0,0,2,6,2,11,0,7,12,4,2,1,6,4,7,4,4,18,3,11,1,2,0,0,0,0,0,0,0,0,0,0,0,0,
정석항공과학고,37168,27,항동7가버스차고지 - 항동7가버스차고지,2023-03,청소년,0,0,1,0,5,0,31,27,15,169,4,11,3,12,15,5,43,15,38,34,52,19,338,26,221,28,222,31,127,20,86,17,56,12,39,10,36,3,0,0,0,0,0,0,0,0,0,0,
정석항공과학고,37168,27,항동7가버스차고지 - 항동7가버스차고지,2023-03,경로,0,0,1,0,1,0,0,0,14,0,7,0,2,0,6,4,6,9,7,10,9,8,1,2,3,5,0,6,3,1,0,3,0,3,0,2,0,3,0,0,0,0,0,0,0,0,0,0,
정석항공과학고,37168,27,항동7가버스차고지 - 항동7가버스차고지,2023-03,장애인,0,0,0,0,0,0,0,0,3,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
정석항공과학고,37168,27,항동7가버스차고지 - 항동7가버스차고지,2023-03,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
