정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
정석항공과학고,37170,13,신흥교통 - 신흥교통,2023-11,일반인,0,0,11,9,68,3,101,22,63,87,62,134,45,128,30,45,41,50,52,96,39,51,69,40,69,54,37,51,58,77,42,50,20,49,24,53,44,58,37,36,0,0,0,0,0,0,0,0,
정석항공과학고,37170,13,신흥교통 - 신흥교통,2023-11,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
정석항공과학고,37170,13,신흥교통 - 신흥교통,2023-11,청소년,0,0,0,0,0,9,0,28,5,104,0,17,0,7,2,2,4,4,5,5,4,9,11,7,7,2,4,12,8,3,8,3,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,
정석항공과학고,37170,13,신흥교통 - 신흥교통,2023-11,경로,0,0,0,0,1,3,4,0,0,0,5,0,1,4,1,0,1,4,2,2,0,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,
정석항공과학고,37170,13,신흥교통 - 신흥교통,2023-11,장애인,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
정석항공과학고,37170,13,신흥교통 - 신흥교통,2023-11,국가유공자,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
정석항공과학고,37170,27,항동7가버스차고지 - 항동7가버스차고지,2023-11,일반인,0,0,24,12,204,29,158,51,185,196,101,169,76,177,43,85,39,156,86,147,68,117,62,101,145,159,87,133,66,148,71,161,35,131,47,163,40,170,51,79,0,0,0,0,0,0,0,0,
정석항공과학고,37170,27,항동7가버스차고지 - 항동7가버스차고지,2023-11,어린이,0,0,0,0,0,0,6,0,4,0,0,12,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
정석항공과학고,37170,27,항동7가버스차고지 - 항동7가버스차고지,2023-11,청소년,0,0,0,0,0,0,11,51,7,148,2,43,1,15,1,8,4,11,1,13,1,10,19,9,21,14,3,10,6,8,3,12,1,12,1,9,2,3,0,3,0,0,0,0,0,0,0,0,
정석항공과학고,37170,27,항동7가버스차고지 - 항동7가버스차고지,2023-11,경로,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3,3,1,5,0,1,1,2,1,2,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,
정석항공과학고,37170,27,항동7가버스차고지 - 항동7가버스차고지,2023-11,장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
정석항공과학고,37170,27,항동7가버스차고지 - 항동7가버스차고지,2023-11,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
정석항공과학고,37170,511,독배로317번길(삼거리) - SK스카이뷰,2023-11,일반인,0,0,41,48,287,176,665,748,608,1936,495,2858,313,2769,312,1133,352,1527,377,1963,373,958,472,1150,481,976,488,1140,370,1471,294,1519,227,1234,175,1278,144,1343,69,1376,0,0,0,0,0,0,0,0,
정석항공과학고,37170,511,독배로317번길(삼거리) - SK스카이뷰,2023-11,어린이,0,0,0,0,0,0,2,0,0,0,0,1,0,4,1,1,2,2,4,0,4,3,2,3,5,6,4,5,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
정석항공과학고,37170,511,독배로317번길(삼거리) - SK스카이뷰,2023-11,청소년,0,0,0,21,0,35,2,602,15,963,8,182,5,107,5,50,13,85,21,80,6,35,136,68,105,68,60,60,32,34,7,27,4,46,2,14,0,17,0,17,0,0,0,0,0,0,0,0,
정석항공과학고,37170,511,독배로317번길(삼거리) - SK스카이뷰,2023-11,경로,0,0,0,3,0,7,0,12,4,0,1,5,5,6,3,8,3,16,7,13,5,13,1,14,1,7,2,8,1,6,0,13,0,10,0,3,0,8,0,2,0,0,0,0,0,0,0,0,
정석항공과학고,37170,511,독배로317번길(삼거리) - SK스카이뷰,2023-11,장애인,0,0,0,2,0,1,0,2,0,2,1,0,0,0,0,1,0,1,0,1,0,0,0,3,0,3,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
정석항공과학고,37170,511,독배로317번길(삼거리) - SK스카이뷰,2023-11,국가유공자,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
정석항공과학고,37170,512,인하대후문 - 인하대후문,2023-11,일반인,0,0,0,0,4,11,23,4,30,33,17,28,29,24,13,21,17,17,8,18,14,9,11,22,24,15,9,25,13,19,11,13,1,10,4,6,2,5,0,5,0,0,0,0,0,0,0,0,
정석항공과학고,37170,512,인하대후문 - 인하대후문,2023-11,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
정석항공과학고,37170,512,인하대후문 - 인하대후문,2023-11,청소년,0,0,0,0,0,1,0,2,0,33,0,2,0,0,0,2,0,4,0,5,0,0,1,3,2,3,4,0,4,1,3,0,1,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,
정석항공과학고,37170,512,인하대후문 - 인하대후문,2023-11,경로,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,0,2,1,0,1,1,3,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
정석항공과학고,37170,512,인하대후문 - 인하대후문,2023-11,장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
